001  00001 |Loss: 2.342 | Acc: 9.000% 
001  00002 |Loss: 2.348 | Acc: 10.000% 
001  00003 |Loss: 2.320 | Acc: 11.000% 
001  00004 |Loss: 2.308 | Acc: 12.000% 
001  00005 |Loss: 2.357 | Acc: 13.000% 
001  00006 |Loss: 2.352 | Acc: 13.000% 
001  00007 |Loss: 2.348 | Acc: 14.000% 
001  00008 |Loss: 2.338 | Acc: 16.000% 
001  00009 |Loss: 2.344 | Acc: 16.000% 
001  00010 |Loss: 2.341 | Acc: 16.000% 
001  00011 |Loss: 2.332 | Acc: 17.000% 
001  00012 |Loss: 2.349 | Acc: 17.000% 
001  00013 |Loss: 2.342 | Acc: 18.000% 
001  00014 |Loss: 2.325 | Acc: 18.000% 
001  00015 |Loss: 2.315 | Acc: 18.000% 
001  00016 |Loss: 2.310 | Acc: 18.000% 
001  00017 |Loss: 2.297 | Acc: 18.000% 
001  00018 |Loss: 2.285 | Acc: 18.000% 
001  00019 |Loss: 2.287 | Acc: 18.000% 
001  00020 |Loss: 2.276 | Acc: 18.000% 
001  00021 |Loss: 2.271 | Acc: 18.000% 
001  00022 |Loss: 2.264 | Acc: 19.000% 
001  00023 |Loss: 2.256 | Acc: 19.000% 
001  00024 |Loss: 2.251 | Acc: 19.000% 
001  00025 |Loss: 2.238 | Acc: 19.000% 
001  00026 |Loss: 2.236 | Acc: 19.000% 
001  00027 |Loss: 2.230 | Acc: 20.000% 
001  00028 |Loss: 2.222 | Acc: 20.000% 
001  00029 |Loss: 2.215 | Acc: 20.000% 
001  00030 |Loss: 2.205 | Acc: 20.000% 
001  00031 |Loss: 2.194 | Acc: 21.000% 
001  00032 |Loss: 2.194 | Acc: 21.000% 
001  00033 |Loss: 2.186 | Acc: 21.000% 
001  00034 |Loss: 2.182 | Acc: 21.000% 
001  00035 |Loss: 2.178 | Acc: 21.000% 
001  00036 |Loss: 2.170 | Acc: 21.000% 
001  00037 |Loss: 2.166 | Acc: 21.000% 
001  00038 |Loss: 2.157 | Acc: 22.000% 
001  00039 |Loss: 2.150 | Acc: 22.000% 
001  00040 |Loss: 2.146 | Acc: 22.000% 
001  00041 |Loss: 2.146 | Acc: 22.000% 
001  00042 |Loss: 2.143 | Acc: 22.000% 
001  00043 |Loss: 2.140 | Acc: 22.000% 
001  00044 |Loss: 2.136 | Acc: 22.000% 
001  00045 |Loss: 2.132 | Acc: 22.000% 
001  00046 |Loss: 2.131 | Acc: 22.000% 
001  00047 |Loss: 2.127 | Acc: 22.000% 
001  00048 |Loss: 2.125 | Acc: 22.000% 
001  00049 |Loss: 2.125 | Acc: 22.000% 
001  00050 |Loss: 2.121 | Acc: 22.000% 
001  00051 |Loss: 2.117 | Acc: 22.000% 
001  00052 |Loss: 2.112 | Acc: 23.000% 
001  00053 |Loss: 2.105 | Acc: 23.000% 
001  00054 |Loss: 2.102 | Acc: 23.000% 
001  00055 |Loss: 2.098 | Acc: 23.000% 
001  00056 |Loss: 2.096 | Acc: 23.000% 
001  00057 |Loss: 2.094 | Acc: 23.000% 
001  00058 |Loss: 2.091 | Acc: 23.000% 
001  00059 |Loss: 2.087 | Acc: 23.000% 
001  00060 |Loss: 2.082 | Acc: 23.000% 
001  00061 |Loss: 2.076 | Acc: 23.000% 
001  00062 |Loss: 2.072 | Acc: 23.000% 
001  00063 |Loss: 2.068 | Acc: 24.000% 
001  00064 |Loss: 2.065 | Acc: 24.000% 
001  00065 |Loss: 2.061 | Acc: 24.000% 
001  00066 |Loss: 2.060 | Acc: 24.000% 
001  00067 |Loss: 2.056 | Acc: 24.000% 
001  00068 |Loss: 2.052 | Acc: 24.000% 
001  00069 |Loss: 2.047 | Acc: 24.000% 
001  00070 |Loss: 2.042 | Acc: 24.000% 
001  00071 |Loss: 2.040 | Acc: 24.000% 
001  00072 |Loss: 2.035 | Acc: 24.000% 
001  00073 |Loss: 2.032 | Acc: 24.000% 
001  00074 |Loss: 2.027 | Acc: 24.000% 
001  00075 |Loss: 2.022 | Acc: 25.000% 
001  00076 |Loss: 2.018 | Acc: 25.000% 
001  00077 |Loss: 2.013 | Acc: 25.000% 
001  00078 |Loss: 2.010 | Acc: 25.000% 
001  00079 |Loss: 2.005 | Acc: 25.000% 
001  00080 |Loss: 2.002 | Acc: 25.000% 
001  00081 |Loss: 1.999 | Acc: 25.000% 
001  00082 |Loss: 1.995 | Acc: 25.000% 
001  00083 |Loss: 1.992 | Acc: 26.000% 
001  00084 |Loss: 1.989 | Acc: 26.000% 
001  00085 |Loss: 1.986 | Acc: 26.000% 
001  00086 |Loss: 1.984 | Acc: 26.000% 
001  00087 |Loss: 1.982 | Acc: 26.000% 
001  00088 |Loss: 1.979 | Acc: 26.000% 
001  00089 |Loss: 1.975 | Acc: 26.000% 
001  00090 |Loss: 1.974 | Acc: 26.000% 
001  00091 |Loss: 1.973 | Acc: 26.000% 
001  00092 |Loss: 1.969 | Acc: 26.000% 
001  00093 |Loss: 1.968 | Acc: 26.000% 
001  00094 |Loss: 1.965 | Acc: 26.000% 
001  00095 |Loss: 1.963 | Acc: 26.000% 
001  00096 |Loss: 1.961 | Acc: 26.000% 
001  00097 |Loss: 1.959 | Acc: 27.000% 
001  00098 |Loss: 1.957 | Acc: 27.000% 
001  00099 |Loss: 1.955 | Acc: 27.000% 
001  00100 |Loss: 1.953 | Acc: 27.000% 
001  00101 |Loss: 1.952 | Acc: 27.000% 
001  00102 |Loss: 1.950 | Acc: 27.000% 
001  00103 |Loss: 1.948 | Acc: 27.000% 
001  00104 |Loss: 1.947 | Acc: 27.000% 
001  00105 |Loss: 1.943 | Acc: 27.000% 
001  00106 |Loss: 1.942 | Acc: 27.000% 
001  00107 |Loss: 1.939 | Acc: 27.000% 
001  00108 |Loss: 1.935 | Acc: 27.000% 
001  00109 |Loss: 1.934 | Acc: 27.000% 
001  00110 |Loss: 1.933 | Acc: 27.000% 
001  00111 |Loss: 1.931 | Acc: 27.000% 
001  00112 |Loss: 1.930 | Acc: 27.000% 
001  00113 |Loss: 1.928 | Acc: 27.000% 
001  00114 |Loss: 1.925 | Acc: 27.000% 
001  00115 |Loss: 1.923 | Acc: 27.000% 
001  00116 |Loss: 1.921 | Acc: 27.000% 
001  00117 |Loss: 1.919 | Acc: 27.000% 
001  00118 |Loss: 1.917 | Acc: 27.000% 
001  00119 |Loss: 1.915 | Acc: 28.000% 
001  00120 |Loss: 1.913 | Acc: 28.000% 
001  00121 |Loss: 1.911 | Acc: 28.000% 
001  00122 |Loss: 1.910 | Acc: 28.000% 
001  00123 |Loss: 1.909 | Acc: 28.000% 
001  00124 |Loss: 1.908 | Acc: 28.000% 
001  00125 |Loss: 1.905 | Acc: 28.000% 
001  00126 |Loss: 1.903 | Acc: 28.000% 
001  00127 |Loss: 1.902 | Acc: 28.000% 
001  00128 |Loss: 1.900 | Acc: 28.000% 
001  00129 |Loss: 1.897 | Acc: 28.000% 
001  00130 |Loss: 1.896 | Acc: 28.000% 
001  00131 |Loss: 1.895 | Acc: 28.000% 
001  00132 |Loss: 1.893 | Acc: 28.000% 
001  00133 |Loss: 1.890 | Acc: 29.000% 
001  00134 |Loss: 1.888 | Acc: 29.000% 
001  00135 |Loss: 1.887 | Acc: 29.000% 
001  00136 |Loss: 1.885 | Acc: 29.000% 
001  00137 |Loss: 1.886 | Acc: 29.000% 
001  00138 |Loss: 1.884 | Acc: 29.000% 
001  00139 |Loss: 1.883 | Acc: 29.000% 
001  00140 |Loss: 1.881 | Acc: 29.000% 
001  00141 |Loss: 1.881 | Acc: 29.000% 
001  00142 |Loss: 1.880 | Acc: 29.000% 
001  00143 |Loss: 1.878 | Acc: 29.000% 
001  00144 |Loss: 1.876 | Acc: 29.000% 
001  00145 |Loss: 1.875 | Acc: 29.000% 
001  00146 |Loss: 1.873 | Acc: 29.000% 
001  00147 |Loss: 1.872 | Acc: 29.000% 
001  00148 |Loss: 1.871 | Acc: 29.000% 
001  00149 |Loss: 1.869 | Acc: 29.000% 
001  00150 |Loss: 1.867 | Acc: 29.000% 
001  00151 |Loss: 1.865 | Acc: 29.000% 
001  00152 |Loss: 1.863 | Acc: 30.000% 
001  00153 |Loss: 1.862 | Acc: 30.000% 
001  00154 |Loss: 1.859 | Acc: 30.000% 
001  00155 |Loss: 1.857 | Acc: 30.000% 
001  00156 |Loss: 1.856 | Acc: 30.000% 
001  00157 |Loss: 1.853 | Acc: 30.000% 
001  00158 |Loss: 1.852 | Acc: 30.000% 
001  00159 |Loss: 1.851 | Acc: 30.000% 
001  00160 |Loss: 1.849 | Acc: 30.000% 
001  00161 |Loss: 1.847 | Acc: 30.000% 
